CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	75328	610177	10.99	685505
2	75536	602618	11.14	678154
3	76114	601560	11.23	677674
4	77163	608228	11.26	685391
5	77352	605320	11.33	682672
6	76327	606355	11.18	682682
7	76937	604357	11.29	681294
8	76896	606075	11.26	682971
9	76856	608676	11.21	685532
10	77705	616326	11.20	694031
11	77533	613462	11.22	690995
12	77322	611108	11.23	688430
13	77507	615890	11.18	693397
14	77500	610846	11.26	688346
15	78164	611209	11.34	689373
16	78108	609112	11.37	687220
17	77326	611329	11.23	688655
18	78155	613224	11.30	691379
19	77855	611475	11.29	689330
20	77600	612433	11.25	690033
21	77844	609957	11.32	687801
22	78959	619190	11.31	698149
23	77930	608248	11.36	686178
24	78738	611846	11.40	690584
25	78478	607106	11.45	685584
26	77934	607464	11.37	685398
27	78265	608089	11.40	686354
28	78347	609117	11.40	687464
29	77652	606784	11.35	684436
30	77994	606143	11.40	684137
31	78493	613117	11.35	691610
32	78398	611007	11.37	689405
33	78687	611118	11.41	689805
34	79167	609403	11.50	688570
35	78245	607477	11.41	685722
36	77745	609720	11.31	687465
37	79094	612974	11.43	692068
38	78909	612750	11.41	691659
39	78258	610544	11.36	688802
40	78936	611035	11.44	689971
41	79063	611449	11.45	690512
42	79282	611232	11.48	690514
43	79272	612359	11.46	691631
44	79452	613101	11.47	692553
45	78737	610783	11.42	689520
46	79055	611874	11.44	690929
47	79155	613358	11.43	692513
48	79549	613003	11.49	692552
49	79717	612707	11.51	692424
50	78727	609326	11.44	688053
51	79493	610538	11.52	690031
52	78995	609106	11.48	688101
53	78814	611302	11.42	690116
54	78446	609477	11.40	687923
55	78312	612437	11.34	690749
56	79734	611080	11.54	690814
57	79405	607578	11.56	686983
58	78781	609064	11.45	687845
59	79529	607077	11.58	686606
60	79077	608507	11.50	687584
61	79492	609299	11.54	688791
62	79652	609962	11.55	689614
63	79548	608645	11.56	688193
64	79295	610728	11.49	690023
65	79768	611515	11.54	691283
66	79356	609838	11.51	689194
67	79560	608812	11.56	688372
68	79201	608125	11.52	687326
69	79494	606689	11.58	686183
70	79476	607610	11.57	687086
71	78956	607695	11.50	686651
72	78955	608334	11.49	687289
73	79474	608416	11.55	687890
74	79013	607162	11.51	686175
75	78605	602661	11.54	681266
76	79013	605489	11.54	684502
77	79003	603731	11.57	682734
78	79802	605746	11.64	685548
79	79814	605761	11.64	685575
80	79583	605897	11.61	685480
81	79554	602791	11.66	682345
82	79477	606893	11.58	686370
83	79335	603487	11.62	682822
84	78537	605282	11.49	683819
85	79841	604963	11.66	684804
86	79532	603063	11.65	682595
87	79097	606125	11.54	685222
88	79803	603346	11.68	683149
89	78950	602571	11.58	681521
90	79958	602781	11.71	682739
91	79879	602177	11.71	682056
92	79968	599497	11.77	679465
93	79854	598700	11.77	678554
94	80156	599565	11.79	679721
95	80621	599294	11.86	679915
96	80064	596567	11.83	676631
97	80484	596890	11.88	677374
98	80092	596864	11.83	676956
99	80461	595051	11.91	675512
100	80465	596601	11.88	677066
101	80502	594310	11.93	674812
102	80336	593817	11.92	674153
103	80437	592944	11.95	673381
