sample	min_coverage	total_loci	kept_loci	removed_loci	percent_kept
105M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28702599	10077293	18625306	35.1093
106M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28187083	8789355	19397728	31.1822
107M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28781699	10085276	18696423	35.0406
109M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28878374	10260699	18617675	35.5307
239M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	29567007	11725473	17841534	39.6573
240M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28709631	9734555	18975076	33.9069
241M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28357158	9511492	18845666	33.5418
242M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	27783925	10049902	17734023	36.1716
269M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	29027093	10684760	18342333	36.8096
270M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	29237422	10875621	18361801	37.1976
271M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28700742	9676832	19023910	33.7163
272M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28592477	9533158	19059319	33.3415
69M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	29119299	10460146	18659153	35.9217
70M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	29226374	10663506	18562868	36.4859
71M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28963535	10290447	18673088	35.5290
72M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28997797	10165357	18832440	35.0556
78M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	29293456	10884730	18408726	37.1575
79M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28600827	9788568	18812259	34.2248
80M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28937601	10388597	18549004	35.9000
81M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28793149	10043143	18750006	34.8803
92M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28553095	9918334	18634761	34.7365
93M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28868620	9860045	19008575	34.1549
94M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	29151846	10526171	18625675	36.1081
95M_R1.fastp-trim_bismark_bt2_pe.deduplicated	5	28223030	8901822	19321208	31.5410
