Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
105M_R1	1291693.0	6787908.0	12570323.0	0.8	0.9	10.4	1028822554.0	162745277.0	737316230.0	108111123.0
106M_R1	1192679.0	6210618.0	12884460.0	0.8	0.9	11.8	953713455.0	150454159.0	686542692.0	96428847.0
107M_R1	1339932.0	7005070.0	14282809.0	0.8	0.9	12.0	1042171757.0	164129269.0	750201826.0	105212851.0
109M_R1	1302834.0	6910557.0	14002947.0	0.8	0.9	11.5	1051823952.0	166222799.0	756121589.0	107263226.0
239M_R1	1584556.0	8157693.0	16084316.0	0.9	1.0	12.0	1170446183.0	183925154.0	842295776.0	118398688.0
240M_R1	1335684.0	6898048.0	15296198.0	0.8	1.0	12.4	987370411.0	160214686.0	695617826.0	108007969.0
241M_R1	1238886.0	6663966.0	12705229.0	0.8	1.0	10.8	973365479.0	155958841.0	692268405.0	104530152.0
242M_R1	1394641.0	7107159.0	15368671.0	0.9	1.1	11.9	964444706.0	160449660.0	665987451.0	114137124.0
269M_R1	1383539.0	7172992.0	13773449.0	0.8	0.9	11.0	1086800706.0	171010368.0	782212672.0	111247686.0
270M_R1	1409231.0	7331025.0	13646632.0	0.8	0.9	10.6	1093492838.0	172964458.0	782498382.0	115643110.0
271M_R1	1297700.0	6623160.0	13292841.0	0.8	0.9	11.4	1007480198.0	159221506.0	723229934.0	103815057.0
272M_R1	1278829.0	6850668.0	13195513.0	0.8	0.9	11.4	1001553310.0	157876478.0	719736136.0	102615686.0
69M_R1	1376057.0	7315462.0	15416092.0	0.8	1.0	11.8	1047875243.0	168207770.0	740702017.0	114857845.0
70M_R1	1382879.0	7140861.0	15779061.0	0.8	1.0	11.9	1052822041.0	170269192.0	741755899.0	116494149.0
71M_R1	1259680.0	6811005.0	14145876.0	0.8	0.9	11.1	1027218529.0	165529780.0	725604607.0	113867581.0
72M_R1	1236764.0	6526653.0	13619782.0	0.7	0.9	11.0	1024951378.0	164081334.0	728923720.0	110563125.0
78M_R1	1335392.0	6803916.0	14305316.0	0.8	0.9	11.0	1083428972.0	173128153.0	771714340.0	116141855.0
79M_R1	1269080.0	6696702.0	13325185.0	0.8	0.9	11.3	1017049056.0	160462281.0	731144755.0	104151053.0
80M_R1	1332770.0	7084650.0	14389015.0	0.8	0.9	11.6	1042251160.0	165856190.0	744337958.0	109250577.0
81M_R1	1241705.0	6345719.0	12658516.0	0.8	0.9	10.4	1021467561.0	162555325.0	729894076.0	108772220.0
92M_R1	1267351.0	6507888.0	12438614.0	0.8	0.9	10.5	1020762523.0	161168935.0	733261085.0	106118650.0
93M_R1	1274358.0	6589174.0	13223877.0	0.8	0.9	11.0	1016559595.0	161376109.0	727615156.0	106480921.0
94M_R1	1374710.0	7226596.0	14297200.0	0.8	1.0	11.2	1052023412.0	168307301.0	747761877.0	113055728.0
95M_R1	1221493.0	6368358.0	13054952.0	0.8	0.9	11.8	945137118.0	149563018.0	677487878.0	97441419.0
