Sample	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c
105M_R1	10.4	0.8	0.9	1028822554.0
106M_R1	11.8	0.8	0.9	953713455.0
107M_R1	12.0	0.8	0.9	1042171757.0
109M_R1	11.5	0.8	0.9	1051823952.0
239M_R1	12.0	0.9	1.0	1170446183.0
240M_R1	12.4	0.8	1.0	987370411.0
241M_R1	10.8	0.8	1.0	973365479.0
242M_R1	11.9	0.9	1.1	964444706.0
269M_R1	11.0	0.8	0.9	1086800706.0
270M_R1	10.6	0.8	0.9	1093492838.0
271M_R1	11.4	0.8	0.9	1007480198.0
272M_R1	11.4	0.8	0.9	1001553310.0
69M_R1	11.8	0.8	1.0	1047875243.0
70M_R1	11.9	0.8	1.0	1052822041.0
71M_R1	11.1	0.8	0.9	1027218529.0
72M_R1	11.0	0.7	0.9	1024951378.0
78M_R1	11.0	0.8	0.9	1083428972.0
79M_R1	11.3	0.8	0.9	1017049056.0
80M_R1	11.6	0.8	0.9	1042251160.0
81M_R1	10.4	0.8	0.9	1021467561.0
92M_R1	10.5	0.8	0.9	1020762523.0
93M_R1	11.0	0.8	0.9	1016559595.0
94M_R1	11.2	0.8	1.0	1052023412.0
95M_R1	11.8	0.8	0.9	945137118.0
