Sample	Top over-represented sequence	Sum of remaining over-represented sequences
105M_1	0.0	0.0
105M_2	0.0	0.0
106M_1	0.0	0.0
106M_2	0.0	0.0
107M_1	0.0	0.0
107M_2	0.0	0.0
109M_1	0.0	0.0
109M_2	0.0	0.0
239M_1	0.0	0.0
239M_2	0.0	0.0
240M_1	0.0	0.0
240M_2	0.0	0.0
241M_1	0.0	0.0
241M_2	0.0	0.0
242M_1	0.0	0.0
242M_2	0.0	0.0
269M_1	0.0	0.0
269M_2	0.0	0.0
270M_1	0.0	0.0
270M_2	0.0	0.0
271M_1	0.0	0.0
271M_2	0.0	0.0
272M_1	0.0	0.0
272M_2	0.0	0.0
69M_1	0.0	0.0
69M_2	0.0	0.0
70M_1	0.0	0.0
70M_2	0.0	0.0
71M_1	0.0	0.0
71M_2	0.0	0.0
72M_1	0.0	0.0
72M_2	0.0	0.0
78M_1	0.0	0.0
78M_2	0.0	0.0
79M_1	0.0	0.0
79M_2	0.0	0.0
80M_1	0.0	0.0
80M_2	0.0	0.0
81M_1	0.0	0.0
81M_2	0.0	0.0
92M_1	0.0	0.0
92M_2	0.0	0.0
93M_1	0.0	0.0
93M_2	0.0	0.0
94M_1	0.0	0.0
94M_2	0.0	0.0
95M_1	0.0	0.0
95M_2	0.0	0.0
T001FX_S219_L001_R1_001	0.17271126333093864	0.2790445571493251
T001FX_S219_L002_R1_001	0.1718881973791778	0.2835423741695966
T001F_S100_L001_R1_001	0.18948621829936968	0.2640695757059698
T001F_S100_L002_R1_001	0.19305685578329315	0.26568814214901093
T001G_S112_L001_R1_001	0.13279280170069707	0.11680756744285692
T001G_S112_L002_R1_001	0.13404821336352016	0.12337819882931886
T002FX_S220_L001_R1_001	0.18544139590322292	0.3023070988641956
T002FX_S220_L002_R1_001	0.18572686355204746	0.299869089159688
T002F_S101_L001_R1_001	0.20840458655772667	0.15399572303136957
T002F_S101_L002_R1_001	0.20675589082016801	0.1576657227533371
T002G_S113_L001_R1_001	0.14354769731868625	0.12449728067181878
T002G_S113_L002_R1_001	0.14142985105251224	0.1268170136533042
T003FX_S221_L001_R1_001	0.15384312137708495	0.27181859630834676
T003FX_S221_L002_R1_001	0.1502931489119201	0.2772760493636366
T003F_S102_L001_R1_001	0.17592913133599844	0.22706672738059155
T003F_S102_L002_R1_001	0.18159552472935384	0.21847371595621493
T003G_S114_L001_R1_001	0.17210493312600925	0.16286364649946047
T003G_S114_L002_R1_001	0.16974405024813502	0.16176446898509092
T004FX_S222_L001_R1_001	0.15534252735284068	0.3849983502156399
T004FX_S222_L002_R1_001	0.15939684721941702	0.3928898005225725
T004F_S103_L001_R1_001	0.19165622551844969	0.1191566386662738
T004F_S103_L002_R1_001	0.1880855545868535	0.12207121287891864
T004G_S115_L001_R1_001	0.15596677021619565	0.23550096127814768
T004G_S115_L002_R1_001	0.15540579408732283	0.2297899455283222
T005FX_S223_L001_R1_001	0.1852011240871607	0.2762668701852673
T005FX_S223_L002_R1_001	0.186618990762345	0.27198947924600064
T005F_S104_L001_R1_001	0.18601032250962574	0.4577913765597806
T005F_S104_L002_R1_001	0.18178965422092852	0.4549735576793019
T005G_S116_L001_R1_001	0.3699458610496922	0.4226618229011465
T005G_S116_L002_R1_001	0.37711813655050025	0.42267561681330995
T006FX_S224_L001_R1_001	0.2185155085900798	0.26723927686513393
T006FX_S224_L002_R1_001	0.2174320189559896	0.27177687150414764
T006F_S105_L001_R1_001	0.25449386383009115	0.38269672592111087
T006F_S105_L002_R1_001	0.264017055803703	0.38905317575212156
T006G_S117_L001_R1_001	0.13991877226230634	0.13526424803330625
T006G_S117_L002_R1_001	0.13589403334681102	0.13316926245463026
T007FX_S225_L001_R1_001	0.17826514055239445	0.10428591973518608
T007FX_S225_L002_R1_001	0.1786873276001947	0.0
T007F_S106_L001_R1_001	0.19648698202690437	0.36951047520038705
T007F_S106_L002_R1_001	0.20093424489125233	0.3809897470234388
T007G_S118_L001_R1_001	0.15994105267584754	0.3756490075857005
T007G_S118_L002_R1_001	0.1601986428173963	0.373067729641386
T008FX_S226_L001_R1_001	0.252784399230354	0.2764360479555933
T008FX_S226_L002_R1_001	0.25375728035644596	0.27947459718043977
T008F_S107_L001_R1_001	0.24785924631064546	0.20148432976610312
T008F_S107_L002_R1_001	0.2522766004348626	0.30086136567609106
T008G_S119_L001_R1_001	0.12131962237499902	0.23151316546027415
T008G_S119_L002_R1_001	0.11972309190326799	0.23211944913573732
T009FX_S227_L001_R1_001	0.2793764799733493	0.31324402768887544
T009FX_S227_L002_R1_001	0.28657899343290844	0.3080243034627455
T009F_S108_L001_R1_001	0.28036962889792094	0.27162358516460083
T009F_S108_L002_R1_001	0.28564894175993605	0.2750602309878005
T009G_S120_L001_R1_001	0.14201138375435457	0.2402708242117353
T009G_S120_L002_R1_001	0.14182604189050826	0.23877842525059725
T010FX_S228_L001_R1_001	0.1724424144730616	0.27456586865830024
T010FX_S228_L002_R1_001	0.17168296805329816	0.2752488070814011
T010F_S109_L001_R1_001	0.1603845069086211	0.2270272588676126
T010F_S109_L002_R1_001	0.16630813127160085	0.22828067989590425
T010G_S121_L001_R1_001	0.15426418002166867	0.33182478994012365
T010G_S121_L002_R1_001	0.1569195328113116	0.3366820182736168
T011FX_S229_L001_R1_001	0.16059638757261535	0.2680855041225404
T011FX_S229_L002_R1_001	0.1639967080721021	0.26520267827190014
T011F_S110_L001_R1_001	0.21553150483729885	0.1376275905842315
T011F_S110_L002_R1_001	0.21281356674585683	0.14005068803372012
T011G_S122_L001_R1_001	0.1653581043364628	0.40051931742004465
T011G_S122_L002_R1_001	0.16797382401783095	0.40372526980565754
T012FX_S230_L001_R1_001	0.1963326188177406	0.31318333640375823
T012FX_S230_L002_R1_001	0.1935930135193882	0.3151393224183341
T012F_S111_L001_R1_001	0.215871881619433	0.2619201113146603
T012F_S111_L002_R1_001	0.21915607430659992	0.1625570429318519
T012G_S123_L001_R1_001	0.1601889759621652	0.2954193296072792
T012G_S123_L002_R1_001	0.16189782146501464	0.2986252691602776
T014F_S171_L001_R1_001	0.2819361508432471	0.26317332469255816
T014F_S171_L002_R1_001	0.2801982332991658	0.26265108925132397
T014G_S183_L001_R1_001	0.14726421443406398	0.11245630920419433
T014G_S183_L002_R1_001	0.14582266690964418	0.1171137163700316
T015F_S172_L001_R1_001	0.17920299073404242	0.12856096562395017
T015F_S172_L002_R1_001	0.17836159471181903	0.13084928064412935
T015G_S184_L001_R1_001	0.13939648593258272	0.3605649262114443
T015G_S184_L002_R1_001	0.1384870325934231	0.3604635274674509
T016F_S173_L001_R1_001	0.22329411899711774	0.30371825350528736
T016F_S173_L002_R1_001	0.22374198039446683	0.30911388511019866
T016G_S185_L001_R1_001	0.22896129819258154	0.37627354347900005
T016G_S185_L002_R1_001	0.23057469736826675	0.3725780666747447
T017F_S174_L001_R1_001	0.19511461702349406	0.11481350493851841
T017F_S174_L002_R1_001	0.19663535066637536	0.11810391576685572
T017G_S186_L001_R1_001	0.16021522711057123	0.4105340613981462
T017G_S186_L002_R1_001	0.16427920351559894	0.4190298535793166
T019F_S175_L001_R1_001	0.20202818074026838	0.13093778494895816
T019F_S175_L002_R1_001	0.2062652016364833	0.132887624001946
T019G_S187_L001_R1_001	0.17009634310658964	0.2683338032964917
T019G_S187_L002_R1_001	0.16604547376351483	0.3653473262304958
T021F_S176_L001_R1_001	0.19381628723210878	0.38271706351994794
T021F_S176_L002_R1_001	0.19566186331354787	0.3851387304460855
T021G_S188_L001_R1_001	0.1733181881995584	0.5205015397350088
T021G_S188_L002_R1_001	0.17471139733870356	0.5131965608599232
T023F_S177_L001_R1_001	0.18912934412747928	0.2771138551755409
T023F_S177_L002_R1_001	0.18961068455778435	0.2740759661235012
T023G_S189_L001_R1_001	0.14919015161286495	0.240663846419111
T023G_S189_L002_R1_001	0.15598946343987383	0.24186786284102127
T025F_S178_L001_R1_001	0.15258075785869035	0.230638409647896
T025F_S178_L002_R1_001	0.15017889392947825	0.23498841752700472
T025G_S190_L001_R1_001	0.22195316458689768	0.2285826826907159
T025G_S190_L002_R1_001	0.21951811796608706	0.23152482473489694
T026F_S179_L001_R1_001	0.2384113963294543	0.12645644302051068
T026F_S179_L002_R1_001	0.22971737049040375	0.12348737254471703
T026G_S191_L001_R1_001	0.14471844711646978	0.2619170836407496
T026G_S191_L002_R1_001	0.14065455375493782	0.26307374831952557
T027F_S180_L001_R1_001	0.21081925986494549	0.14386579955452639
T027F_S180_L002_R1_001	0.2123005943758176	0.14272262754497328
T027G_S192_L001_R1_001	0.13288722492026311	0.10602800811866414
T027G_S192_L002_R1_001	0.13639166997306254	0.10707723240804243
T029F_S195_L001_R1_001	0.16076808684921973	0.3721607188685414
T029F_S195_L002_R1_001	0.16403455502160566	0.3649268636859859
T029G_S207_L001_R1_001	0.13103426970920176	0.12794505313452506
T029G_S207_L002_R1_001	0.1350736994504376	0.12755744280894918
T030F_S196_L001_R1_001	0.17844385982450023	0.15586027312425177
T030F_S196_L002_R1_001	0.17190051363922002	0.16070938986842395
T030G_S208_L001_R1_001	0.12779552715654952	0.12530369236519623
T030G_S208_L002_R1_001	0.12853225077787464	0.12344186460845388
T031F_S197_L001_R1_001	0.13533391984479476	0.3858209510963562
T031F_S197_L002_R1_001	0.1365625386683465	0.38156518217712637
T031G_S209_L001_R1_001	0.19290180309470015	0.4391391959065648
T031G_S209_L002_R1_001	0.19566106703777078	0.43005754570542387
T033F_S198_L001_R1_001	0.10450341610296965	0.0
T033F_S198_L002_R1_001	0.106872690468757	0.0
T033G_S210_L001_R1_001	0.1451439803883912	0.21003400399914146
T033G_S210_L002_R1_001	0.1531713869718675	0.10439815545227932
T034F_S199_L001_R1_001	0.28347596852946116	0.28447525838895776
T034F_S199_L002_R1_001	0.2805435036695103	0.2761444582302608
T034G_S211_L001_R1_001	0.2419537092475845	0.4223825708214466
T034G_S211_L002_R1_001	0.24368093117192796	0.43350709691006
T035F_S200_L001_R1_001	0.13079136255094304	0.10723569549933665
T035F_S200_L002_R1_001	0.13770366642952578	0.10997553400079818
T035G_S212_L001_R1_001	0.14906183727855432	0.22248733442061458
T035G_S212_L002_R1_001	0.1487330486194266	0.22499114785442265
T036F_S201_L001_R1_001	0.1489043142811218	0.1390443334504128
T036F_S201_L002_R1_001	0.14166227949845397	0.1409578609403617
T036G_S213_L001_R1_001	0.15168617081178107	0.25656411265954127
T036G_S213_L002_R1_001	0.15095704710528504	0.2616674538835222
T037F_S202_L001_R1_001	0.18285721730661805	0.1536730230232676
T037F_S202_L002_R1_001	0.17620625597038075	0.15594707459041607
T037G_S214_L001_R1_001	0.2000093761240943	0.31431922547957336
T037G_S214_L002_R1_001	0.1919976665100527	0.3234748040724291
T038F_S203_L001_R1_001	0.17202947428832238	0.26352693888289785
T038F_S203_L002_R1_001	0.18056561851796396	0.26770831041816434
T038G_S215_L001_R1_001	0.17639187860561525	0.28001661510778364
T038G_S215_L002_R1_001	0.17925007826411868	0.27875491044228484
T039F_S204_L001_R1_001	0.1497326375744227	0.13198734384141517
T039F_S204_L002_R1_001	0.1482024447530809	0.13408157060423728
T039G_S216_L001_R1_001	0.12744394544290927	0.0
T039G_S216_L002_R1_001	0.1304296946627487	0.0
T040F_S205_L001_R1_001	0.17622252781993727	0.26742496683373485
T040F_S205_L002_R1_001	0.17106350148398095	0.2707151018140197
T040G_S217_L001_R1_001	0.14650682962262362	0.20701422267734532
T040G_S217_L002_R1_001	0.1508003281657692	0.11149406742557708
T041F_S206_L001_R1_001	0.16524702146849574	0.1617760063140436
T041F_S206_L002_R1_001	0.16209527003344743	0.15678067101595733
T041G_S218_L001_R1_001	0.15250496740939518	0.14290008725043807
T041G_S218_L002_R1_001	0.1525856088180467	0.1460918235906377
T046F_S148_L001_R1_001	0.15896320374061293	0.14162176333254603
T046F_S148_L002_R1_001	0.16001153361971668	0.14042065738725726
T046G_S159_L001_R1_001	0.15580219302421078	0.0
T046G_S159_L002_R1_001	0.15797150420749664	0.0
T047G_S160_L001_R1_001	0.12857743392752097	0.0
T047G_S160_L002_R1_001	0.13051366187085764	0.1004872066684667
T049F_S149_L001_R1_001	0.193276281377852	0.15770321985647298
T049F_S149_L002_R1_001	0.2024810039143449	0.16163462276460203
T049G_S161_L001_R1_001	0.13530137722394012	0.23973971117072893
T049G_S161_L002_R1_001	0.13558280019651273	0.2367405863466003
T051F_S150_L001_R1_001	0.5138783212960545	0.5918334801329497
T051F_S150_L002_R1_001	0.5054104896565893	0.5928887232564836
T051G_S162_L001_R1_001	0.27164377354950936	0.0
T051G_S162_L002_R1_001	0.2662684892241962	0.0
T052F_S151_L001_R1_001	0.15199941457421612	0.13519934366348735
T052F_S151_L002_R1_001	0.15036552342518347	0.1360242288347249
T052G_S163_L001_R1_001	0.18404913315426008	0.33127973553327683
T052G_S163_L002_R1_001	0.18335200284818645	0.22659580934517762
T055F_S152_L001_R1_001	0.14682242226040193	0.14123919008860203
T055F_S152_L002_R1_001	0.14539576854821415	0.13933990541292315
T055G_S164_L001_R1_001	0.19023591551775715	0.49983263539388884
T055G_S164_L002_R1_001	0.18798490043618576	0.504257544871992
T056F_S153_L001_R1_001	0.13944609090360433	0.11516390650935482
T056F_S153_L002_R1_001	0.14408132684205585	0.11620028921742179
T056G_S165_L001_R1_001	0.18193532618559863	0.408052879835188
T056G_S165_L002_R1_001	0.19202181713050365	0.40770474955536523
T057F_S154_L001_R1_001	0.21038339222329358	0.15438272187726435
T057F_S154_L002_R1_001	0.2053293550198148	0.15658539389953746
T057G_S166_L001_R1_001	0.16036723594312366	0.3830401593617987
T057G_S166_L002_R1_001	0.1593429091310619	0.3916319635494494
T058F_S155_L001_R1_001	0.21047956079808267	0.15358318913152397
T058F_S155_L002_R1_001	0.21393154874600062	0.15519904975447868
T058G_S167_L001_R1_001	0.1330401173257873	0.24779607998357678
T058G_S167_L002_R1_001	0.1327169479513126	0.25114175393401506
T110F_S156_L001_R1_001	0.16349715136601	0.22564251912950178
T110F_S156_L002_R1_001	0.16823067838945555	0.12606729831195468
T110G_S168_L001_R1_001	0.1789922017151414	0.26573030484204446
T110G_S168_L002_R1_001	0.17688249032858133	0.27169887524846464
T111F_S157_L001_R1_001	0.1910429658118518	0.12662657167279448
T111F_S157_L002_R1_001	0.18879902868404683	0.1298503038802941
T111G_S169_L001_R1_001	0.0	0.0
T111G_S169_L002_R1_001	0.0	0.0
T112F_S158_L001_R1_001	0.19209737150639378	0.14285594681678065
T112F_S158_L002_R1_001	0.18850365753365364	0.14543565770679132
T112G_S170_L001_R1_001	0.13940837430235764	0.23458909757977708
T112G_S170_L002_R1_001	0.1453448075320541	0.22960081961597228
T118F_S181_L001_R1_001	0.20195542510075037	0.29676535254624753
T118F_S181_L002_R1_001	0.20081973505652753	0.29841474058586137
T118G_S193_L001_R1_001	0.16301148627231973	0.2457521649105426
T118G_S193_L002_R1_001	0.16784618619474279	0.2472341339773545
T119F_S182_L001_R1_001	0.19469989056523393	0.2605560604460764
T119F_S182_L002_R1_001	0.19562502483609695	0.25969077959711984
T119G_S194_L001_R1_001	0.1945478907289347	0.26116828188191027
T119G_S194_L002_R1_001	0.1933322124684332	0.2602104848420005
T126F_S124_L001_R1_001	0.3724463557637135	0.18975086276699477
T126F_S124_L002_R1_001	0.35848030834450334	0.19716143351629462
T126G_S136_L001_R1_001	0.12674088409076378	0.23644523593063127
T126G_S136_L002_R1_001	0.1267446773049508	0.24298543792805397
T127F_S125_L001_R1_001	0.218345750438691	0.14014803636216558
T127F_S125_L002_R1_001	0.21807936470626524	0.141619369805105
T127G_S137_L001_R1_001	0.1721359729691055	0.25529074572212046
T127G_S137_L002_R1_001	0.16656687827379862	0.2535198052477392
T128F_S126_L001_R1_001	0.14825279618386322	0.2314162088579902
T128F_S126_L002_R1_001	0.15425620031634152	0.22902989359215548
T128G_S138_L001_R1_001	0.16536277882930353	0.12841143375993894
T128G_S138_L002_R1_001	0.16814134395427374	0.13343159237744626
T129F_S127_L001_R1_001	0.16713634711559033	0.2674181553849445
T129F_S127_L002_R1_001	0.16981231727626392	0.27038488786258663
T129G_S139_L001_R1_001	0.22862513779230556	0.3679514768952894
T129G_S139_L002_R1_001	0.23413942743146718	0.26305304915100725
T130F_S128_L001_R1_001	1.4495538830722474	0.0
T130F_S128_L002_R1_001	1.4409880115421552	0.10328899254900503
T130G_S140_L001_R1_001	0.1391100000651569	0.0
T130G_S140_L002_R1_001	0.1417450064061661	0.0
T131F_S129_L001_R1_001	0.15736623614587286	0.13916047168505713
T131F_S129_L002_R1_001	0.15915862708295997	0.13679519000798585
T131G_S141_L001_R1_001	0.14417813983638125	0.23415890812590504
T131G_S141_L002_R1_001	0.14749778946181555	0.23876779557417618
T132F_S130_L001_R1_001	0.20735171862612703	0.14194999916481107
T132F_S130_L002_R1_001	0.20703436251390078	0.14343745604684832
T132G_S142_L001_R1_001	0.14502527302726345	0.241459362992506
T132G_S142_L002_R1_001	0.1438382736792766	0.23468841343256197
T133F_S131_L001_R1_001	0.17665391442953415	0.1310784595966925
T133F_S131_L002_R1_001	0.1750272809084396	0.2332786088396
T133G_S143_L001_R1_001	0.16932424965574225	0.233912775275309
T133G_S143_L002_R1_001	0.16917462195519276	0.23003567747940865
T134F_S132_L001_R1_001	0.1469241187081692	0.13374618570489297
T134F_S132_L002_R1_001	0.15318502322672112	0.13251231830258914
T134G_S144_L001_R1_001	0.1487003474310353	0.10959188470567408
T134G_S144_L002_R1_001	0.15180171802551393	0.10721991465091532
T135F_S133_L001_R1_001	0.1532105267197412	0.11782574969015161
T135F_S133_L002_R1_001	0.1477813885778746	0.11779447568591783
T135G_S145_L001_R1_001	0.16651775325228102	0.26382392767269436
T135G_S145_L002_R1_001	0.1635119153296829	0.26013623588357154
