Sample	aligned_reads	dedup_reads	dedup_reads_percent	dup_reads	dup_reads_percent
105M_R1	43427314.0	38884393.0	89.54	4542921.0	10.46
106M_R1	41582797.0	35131722.0	84.49	6451075.0	15.51
107M_R1	44564981.0	38824750.0	87.12	5740231.0	12.88
109M_R1	44021724.0	38547765.0	87.57	5473959.0	12.43
239M_R1	50928594.0	44858041.0	88.08	6070553.0	11.92
240M_R1	40751595.0	36827545.0	90.37	3924050.0	9.63
241M_R1	40950753.0	37070557.0	90.52	3880196.0	9.48
242M_R1	39335001.0	36356572.0	92.43	2978429.0	7.57
269M_R1	45894774.0	41370416.0	90.14	4524358.0	9.86
270M_R1	46481870.0	41528290.0	89.34	4953580.0	10.66
271M_R1	43063476.0	37993793.0	88.23	5069683.0	11.77
272M_R1	42425478.0	37633246.0	88.7	4792232.0	11.3
69M_R1	43219194.0	39103910.0	90.48	4115284.0	9.52
70M_R1	43221146.0	38561755.0	89.22	4659391.0	10.78
71M_R1	41967481.0	37309936.0	88.9	4657545.0	11.1
72M_R1	42759390.0	37505010.0	87.71	5254380.0	12.29
78M_R1	45506471.0	39772792.0	87.4	5733679.0	12.6
79M_R1	42260937.0	37937850.0	89.77	4323087.0	10.23
80M_R1	43558690.0	38843025.0	89.17	4715665.0	10.83
81M_R1	42698529.0	37902237.0	88.77	4796292.0	11.23
92M_R1	44332383.0	39730617.0	89.62	4601766.0	10.38
93M_R1	43273846.0	37811409.0	87.38	5462437.0	12.62
94M_R1	44134362.0	39051367.0	88.48	5082995.0	11.52
95M_R1	40379448.0	35193329.0	87.16	5186119.0	12.84
