Sample	Bismark_mqc-generalstats-bismark-dup_reads_percent	Bismark_mqc-generalstats-bismark-dedup_reads
105M_R1	10.46	38884393.0
106M_R1	15.51	35131722.0
107M_R1	12.88	38824750.0
109M_R1	12.43	38547765.0
239M_R1	11.92	44858041.0
240M_R1	9.63	36827545.0
241M_R1	9.48	37070557.0
242M_R1	7.57	36356572.0
269M_R1	9.86	41370416.0
270M_R1	10.66	41528290.0
271M_R1	11.77	37993793.0
272M_R1	11.3	37633246.0
69M_R1	9.52	39103910.0
70M_R1	10.78	38561755.0
71M_R1	11.1	37309936.0
72M_R1	12.29	37505010.0
78M_R1	12.6	39772792.0
79M_R1	10.23	37937850.0
80M_R1	10.83	38843025.0
81M_R1	11.23	37902237.0
92M_R1	10.38	39730617.0
93M_R1	12.62	37811409.0
94M_R1	11.52	39051367.0
95M_R1	12.84	35193329.0
